PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,ContactQuality,PlayResult,OutsonPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Direction,Angle,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,ContactPositionX,ContactPositionY,ContactPositionZ,EffectiveVelo,MaxHeight,MeasuredDuration,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ
207,3,7,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,2,2,Sinker,Fastball,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,91.03290811,-0.934811295,-3.279224604,2023.034587,235.6462982,1:45,5.431929159,1.813964679,6.442572413,-22.75791274,10.03005096,14.7139477,2.675089274,0.02403018,83.65808424,-5.237470773,-0.492403521,0.412124792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.949310772,5.757999415,-1.588222953,50,5.355202962,7.148283528,-132.456328,-2.846788037,-15.98119018,26.92592397,-21.89172782,NULL,NULL,NULL,91.45864853,NULL,NULL,0.631291114,2.602589959,-0.017606285
208,3,8,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,2,2,Sinker,Fastball,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,89.52411368,-0.94008618,-2.579290713,2013.62047,243.7266979,2:00,5.284372658,2.018363827,6.448704982,-26.26159517,7.456881601,15.16253512,2.231345071,0.910847244,82.75391975,-5.890383363,0.288569718,0.417931872,60.07095577,118.1280746,25.58990317,6256.205308,-62.42151338,15.17365452,90.57340201,141.6708972,64.91481272,126.247676,2.153638306,-8.971393446,4.329906576,-1.842806367,50,5.205800854,5.42500488,-130.3788185,-2.917921619,-15.59131677,24.93544302,-24.64913669,0.496211826,2.106092992,-0.989483681,90.18784896,20.92328054,0.903813296,0.493245517,2.135276689,-0.915958548
209,3,9,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,2,2,Sinker,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,90.15207797,-2.191328636,-4.582953345,2114.941293,240.3411939,2:00,5.33727327,1.820223536,6.485508674,-24.19270261,9.242914609,16.28062909,1.302126411,-1.039228271,83.14856479,-6.750941824,-1.506716905,0.416175194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.12569399,5.644551614,-1.505748292,50,5.172288503,10.01560415,-130.9222933,-5.737463451,-17.71570634,25.56637652,-22.29845693,NULL,NULL,NULL,90.56853234,NULL,NULL,1.679098759,1.333142939,1.032285434
210,3,10,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,3,2,Sinker,Fastball,InPlay,Undefined,LineDrive,NULL,Out,NULL,0,NULL,89.01331699,-1.09595664,-3.458290831,2005.659774,242.3163384,2:00,5.29464635,1.887429959,6.649945495,-26.10196574,7.921525118,15.15282634,2.11458163,-0.018487467,81.93671746,-6.043663841,-0.578201221,0.419817902,98.33571921,-15.14638127,17.44520416,1372.207131,104.9289566,30.02431574,-33.01363371,315.9695303,309.7091388,-22.72801116,3.244143677,-9.298953112,4.674238501,-1.661056105,50,5.210019207,7.403059002,-129.529483,-3.213984837,-15.88256093,25.70508716,-24.19047483,2.063232382,2.177748725,-0.057079357,89.78268045,36.70365257,3.156534324,2.046701427,2.180916215,0.011912356
211,1,1,Pitcher 1,Left,Team 2,Batter 7,Right,Team 1,Undefined,7,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,80.52211664,-0.568315485,2.347368971,2588.495028,341.0873619,5:15,6.723518606,-1.82825557,6.276285962,-54.66130619,-12.25604145,4.18708429,1.644160779,0.685348192,74.62232729,-10.79752748,3.14025114,0.468685381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.619623647,-6.544106055,1.653066395,50,6.654831604,-4.917511541,-117.1781913,-2.653021244,-2.245624582,22.71727212,-41.24751785,NULL,NULL,NULL,80.42148958,NULL,NULL,1.124680521,1.588222025,-0.701380256
212,1,2,Pitcher 1,Left,Team 2,Batter 7,Right,Team 1,Undefined,7,Bottom,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,82.73193414,-3.887403794,1.992844906,2630.562599,329.2981927,5:00,6.663581431,-1.822376669,6.373770255,-51.38073497,-11.03092106,6.530170029,-1.202050207,0.555872413,76.94278688,-13.41563371,3.234757325,0.45718533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.99230733,-4.89634235,1.675751701,50,6.359029462,-4.358393863,-120.1349131,-9.570584327,-4.339937144,24.91902632,-39.27553102,NULL,NULL,NULL,82.44441379,NULL,NULL,7.121835924,0.100361568,-0.241129889
213,1,3,Pitcher 1,Left,Team 2,Batter 7,Right,Team 1,Undefined,7,Bottom,0,1,1,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,87.08522835,-3.319978552,3.704710346,1678.129569,128.2594706,10:15,6.428619038,-2.175807255,6.60657554,-25.2716691,10.49806998,-13.35004037,1.272121556,0.109541519,80.297338,-8.084069364,1.16921686,0.430456633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.368128994,6.690357418,1.929364142,50,6.191585417,-7.821238163,-126.4835013,-8.050227419,13.61293979,24.78606129,-21.29044091,NULL,NULL,NULL,87.5637024,NULL,NULL,1.391022484,1.268477764,-0.110064588
214,1,4,Pitcher 1,Left,Team 2,Batter 7,Right,Team 1,Undefined,7,Bottom,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,83.17858502,-4.115241499,2.587859037,2620.59971,325.5351788,4:45,6.651765393,-1.756002523,6.537185848,-48.83024845,-9.045643705,6.185950723,-1.201886558,1.134442738,77.15958225,-13.2016294,3.767763464,0.453971974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.631273066,-3.743847115,1.574216696,50,6.345226577,-5.619855798,-120.7194238,-9.986244974,-3.845916521,25.59215695,-37.64612352,NULL,NULL,NULL,83.02798125,NULL,NULL,7.494525339,0.161054379,-0.742532053
215,1,5,Pitcher 1,Left,Team 2,Batter 7,Right,Team 1,Undefined,7,Bottom,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,89.02739314,-1.704266504,2.003030424,2407.919131,265.5672888,2:45,6.607988102,-1.939560721,6.296341276,-33.84701372,0.275397066,3.919691053,2.215827912,0.233237788,83.18494197,-8.014544166,2.739517171,0.420427748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.667765275,0.549906196,1.790612864,50,6.466167481,-4.655042155,-129.685608,-4.892498152,-2.883889037,23.21716683,-31.22315428,NULL,NULL,NULL,89.65244723,NULL,NULL,-0.672844332,1.916100257,-0.333821885
216,2,1,Pitcher 1,Left,Team 2,Batter 8,Right,Team 1,Undefined,7,Bottom,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.03664877,-2.343348001,4.094267421,2507.50799,166.7441806,11:30,6.586649209,-1.645984407,6.585123628,-14.70592086,14.03595116,-3.312179341,3.207329744,1.835839273,89.34145752,-5.12127503,3.467786561,0.385859364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.887118444,8.356396739,1.367177179,50,6.419727775,-9.990813221,-141.0087095,-6.240815993,5.853372791,29.9757436,-15.23220628,NULL,NULL,NULL,97.68423435,NULL,NULL,-2.265326005,2.869531146,-2.057338789
