"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
0,2,0,0,0,1,1.01666666666667
3,2,1,0,0,1,1.01606425702811
2,0,1,1,1,0,1.01578947368421
3,0,1,1,1,0,1.01063829787234
3,2,0,1,0,0,0.992937853107345
2,1,1,0,0,1,0.992619926199262
0,0,1,0,0,1,0.986301369863014
3,2,2,1,1,1,0.976744186046512
2,1,1,1,1,0,0.96025641025641
1,0,1,1,1,0,0.956199876619371
1,2,1,1,0,1,0.954792043399638
2,1,0,1,0,0,0.945307644499689
1,2,0,0,1,0,0.940366972477064
0,2,0,0,1,0,0.936772046589018
1,0,2,1,1,1,0.935794542536116
3,2,1,1,1,0,0.929775280898876
1,0,0,1,0,0,0.927986444507201
0,0,1,1,1,0,0.919092254563394
2,1,2,1,1,1,0.907894736842105
3,0,0,0,0,1,0.904761904761905
3,0,1,0,1,0,0.885167464114832
1,1,1,0,0,1,0.884615384615385
1,1,1,1,1,0,0.881311475409836
0,0,0,1,0,0,0.87462876537972
1,1,0,1,0,0,0.869654969035683
2,2,0,1,0,0,0.855366763365106
0,2,1,1,0,1,0.855233853006682
0,1,1,0,0,1,0.844492440604752
0,1,1,1,1,0,0.842540010325245
3,1,2,1,0,1,0.838709677419355
3,1,1,0,1,0,0.831081081081081
2,2,1,1,1,0,0.807250221043324
0,1,0,1,0,0,0.799867461895295
1,2,0,1,0,0,0.79887041104487
0,0,2,1,1,1,0.789665653495441
1,1,2,1,1,1,0.784591194968553
3,0,2,1,1,0,0.778801843317972
1,2,1,1,1,0,0.776993648553282
2,2,1,0,0,1,0.767195767195767
2,0,1,0,1,0,0.763513513513513
3,2,1,0,1,0,0.75922131147541
3,0,1,1,0,0,0.752380952380952
3,0,2,1,0,1,0.742574257425743
0,2,1,0,0,1,0.735537190082645
1,2,1,0,0,1,0.73551637279597
0,2,1,1,1,0,0.716346153846154
3,0,2,0,1,1,0.71
1,0,1,0,1,0,0.706691682301438
3,1,1,1,0,0,0.704128440366973
3,0,0,0,0,0,0.698895027624309
2,1,1,0,1,0,0.681914893617021
2,2,2,1,1,1,0.678496868475992
0,0,1,0,1,0,0.674880763116057
0,2,0,1,0,0,0.669568822553897
3,1,0,0,0,0,0.66523473458116
0,1,2,1,1,1,0.66304347826087
3,2,2,1,0,1,0.657051282051282
1,1,1,0,1,0,0.649908031882281
0,1,1,0,1,0,0.646840148698885
2,0,2,1,0,1,0.642201834862385
2,0,1,1,0,0,0.639133378469871
1,2,2,1,1,1,0.615151515151515
1,2,1,0,1,0,0.611217335882728
0,2,1,0,1,0,0.603498542274053
3,1,2,1,1,0,0.597727272727273
2,2,1,0,1,0,0.586440677966102
2,1,2,1,0,1,0.576555023923445
1,0,2,1,0,1,0.574973031283711
3,2,1,1,0,0,0.573244886677723
3,0,2,0,0,1,0.566929133858268
1,0,2,0,1,1,0.564459930313589
2,0,0,0,0,0,0.563875745731331
0,0,2,0,1,1,0.555846422338569
3,1,2,0,1,1,0.554878048780488
2,0,2,1,1,0,0.553935860058309
2,0,2,0,1,1,0.551867219917012
3,2,0,0,0,0,0.550267243573428
2,1,1,1,0,0,0.547363509099393
2,1,2,0,1,1,0.543543543543544
1,0,1,1,0,0,0.535787788703407
2,1,0,0,0,0,0.523223211020358
1,1,2,0,1,1,0.519774011299435
3,1,2,0,0,1,0.51271186440678
0,0,1,1,0,0,0.511397089746825
0,1,2,0,1,1,0.50886524822695
1,0,0,0,0,0,0.504679100019911
0,2,2,1,1,1,0.5
2,2,2,0,1,1,0.5
0,0,2,1,0,1,0.49247491638796
1,0,2,1,1,0,0.48943661971831
2,0,2,0,0,1,0.487252124645892
0,0,0,0,0,0,0.475468067786576
3,2,2,0,0,1,0.472868217054264
2,1,2,1,1,0,0.472622478386167
